outcomeId,cohortId,modelSettingsId,analysisId,devDatabase,populationSettingId,modelSettingId,covariateSettingId,modelSettingName,addExposureDaysToStart,riskWindowStart,addExposureDaysToEnd,riskWindowEnd,plpDataFolder,studyPopFile,plpResultFolder,cohortName,outcomeName
5889,5894,1,3003,OptumDoD,1,1,1,Lasso Logistic Regression - Data Driven,0,0,0,30,T:/covid19Studies/covid19Results/HospitalizationInSymptomaticPatientsResults/optumDod2/PlpData_L1_T5894,T:/covid19Studies/covid19Results/HospitalizationInSymptomaticPatientsResults/optumDod2/StudyPop_L1_T5894_O5889.rds,T:/covid19Studies/covid19Results/HospitalizationInSymptomaticPatientsResults/optumDod2/Analysis_3,2020 GP/OP/ER visits of patients presenting with Covid AND no symptoms or flu or pneumonia in prior 60d,Hospitalizations with pneumonia or ARDS or sepsis or AKI requiring intensive services or resulting in death in 30d
5889,5894,2,3007,OptumDoD,1,1,2,Lasso Logistic Regression - Age/Sex,0,0,0,30,T:/covid19Studies/covid19Results/HospitalizationInSymptomaticPatientsResults/optumDod2/PlpData_L2_T5894,T:/covid19Studies/covid19Results/HospitalizationInSymptomaticPatientsResults/optumDod2/StudyPop_L1_T5894_O5889.rds,T:/covid19Studies/covid19Results/HospitalizationInSymptomaticPatientsResults/optumDod2/Analysis_7,2020 GP/OP/ER visits of patients presenting with Covid AND no symptoms or flu or pneumonia in prior 60d,Hospitalizations with pneumonia or ARDS or sepsis or AKI requiring intensive services or resulting in death in 30d
5890,5894,1,3004,OptumDoD,1,1,1,Lasso Logistic Regression - Data Driven,0,0,0,30,T:/covid19Studies/covid19Results/HospitalizationInSymptomaticPatientsResults/optumDod2/PlpData_L1_T5894,T:/covid19Studies/covid19Results/HospitalizationInSymptomaticPatientsResults/optumDod2/StudyPop_L1_T5894_O5890.rds,T:/covid19Studies/covid19Results/HospitalizationInSymptomaticPatientsResults/optumDod2/Analysis_4,2020 GP/OP/ER visits of patients presenting with Covid AND no symptoms or flu or pneumonia in prior 60d,Persons who die
5890,5894,2,3008,OptumDoD,1,1,2,Lasso Logistic Regression - Age/Sex,0,0,0,30,T:/covid19Studies/covid19Results/HospitalizationInSymptomaticPatientsResults/optumDod2/PlpData_L2_T5894,T:/covid19Studies/covid19Results/HospitalizationInSymptomaticPatientsResults/optumDod2/StudyPop_L1_T5894_O5890.rds,T:/covid19Studies/covid19Results/HospitalizationInSymptomaticPatientsResults/optumDod2/Analysis_8,2020 GP/OP/ER visits of patients presenting with Covid AND no symptoms or flu or pneumonia in prior 60d,Persons who die
5892,5894,1,3001,OptumDoD,1,1,1,Lasso Logistic Regression - Data Driven,0,0,0,30,T:/covid19Studies/covid19Results/HospitalizationInSymptomaticPatientsResults/optumDod2/PlpData_L1_T5894,T:/covid19Studies/covid19Results/HospitalizationInSymptomaticPatientsResults/optumDod2/StudyPop_L1_T5894_O5892.rds,T:/covid19Studies/covid19Results/HospitalizationInSymptomaticPatientsResults/optumDod2/Analysis_1,2020 GP/OP/ER visits of patients presenting with Covid AND no symptoms or flu or pneumonia in prior 60d,Hospitalizations with pneumonia
5892,5894,2,3005,OptumDoD,1,1,2,Lasso Logistic Regression - Age/Sex,0,0,0,30,T:/covid19Studies/covid19Results/HospitalizationInSymptomaticPatientsResults/optumDod2/PlpData_L2_T5894,T:/covid19Studies/covid19Results/HospitalizationInSymptomaticPatientsResults/optumDod2/StudyPop_L1_T5894_O5892.rds,T:/covid19Studies/covid19Results/HospitalizationInSymptomaticPatientsResults/optumDod2/Analysis_5,2020 GP/OP/ER visits of patients presenting with Covid AND no symptoms or flu or pneumonia in prior 60d,Hospitalizations with pneumonia
5893,5894,1,3002,OptumDoD,1,1,1,Lasso Logistic Regression - Data Driven,0,0,0,30,T:/covid19Studies/covid19Results/HospitalizationInSymptomaticPatientsResults/optumDod2/PlpData_L1_T5894,T:/covid19Studies/covid19Results/HospitalizationInSymptomaticPatientsResults/optumDod2/StudyPop_L1_T5894_O5893.rds,T:/covid19Studies/covid19Results/HospitalizationInSymptomaticPatientsResults/optumDod2/Analysis_2,2020 GP/OP/ER visits of patients presenting with Covid AND no symptoms or flu or pneumonia in prior 60d,Hospitalizations with pneumonia or ARDS or sepsis or AKI
5893,5894,2,3006,OptumDoD,1,1,2,Lasso Logistic Regression - Age/Sex,0,0,0,30,T:/covid19Studies/covid19Results/HospitalizationInSymptomaticPatientsResults/optumDod2/PlpData_L2_T5894,T:/covid19Studies/covid19Results/HospitalizationInSymptomaticPatientsResults/optumDod2/StudyPop_L1_T5894_O5893.rds,T:/covid19Studies/covid19Results/HospitalizationInSymptomaticPatientsResults/optumDod2/Analysis_6,2020 GP/OP/ER visits of patients presenting with Covid AND no symptoms or flu or pneumonia in prior 60d,Hospitalizations with pneumonia or ARDS or sepsis or AKI
5889,5894,3,3014,OptumDoD,1,3,1,COVER-I,0,0,0,30,T:/covid19Studies/covid19Results/HospitalizationInSymptomaticPatientsResults/optumDod2/PlpData_L1_T5894,T:/covid19Studies/covid19Results/HospitalizationInSymptomaticPatientsResults/optumDod2/StudyPop_L1_T5894_O5889.rds,T:/covid19Studies/covid19Results/HospitalizationInSymptomaticPatientsResults/optumDod2/Analysis_3,2020 GP/OP/ER visits of patients presenting with Covid AND no symptoms or flu or pneumonia in prior 60d,Hospitalizations with pneumonia or ARDS or sepsis or AKI requiring intensive services or resulting in death in 30d
5890,5894,3,3015,OptumDoD,1,3,1,COVER-F,0,0,0,30,T:/covid19Studies/covid19Results/HospitalizationInSymptomaticPatientsResults/optumDod2/PlpData_L1_T5894,T:/covid19Studies/covid19Results/HospitalizationInSymptomaticPatientsResults/optumDod2/StudyPop_L1_T5894_O5890.rds,T:/covid19Studies/covid19Results/HospitalizationInSymptomaticPatientsResults/optumDod2/Analysis_4,2020 GP/OP/ER visits of patients presenting with Covid AND no symptoms or flu or pneumonia in prior 60d,Persons who die
